"Qty","Value","Part Num","Package","Parts"
"1","","BG: SKU038984","1X02","J2"
"1","","BG: SKU038984","1X04","JP1"
"1","","DX: SKU134132","USB-AB-MICRO-SMD_V03_SF","U1"
"1","","STOCK","1X04-RA","JP2"
"4","0.01uF","DK: 311-1085-1-ND","CAPC1608X92N","C20, C21, C22, C23"
"2","0R1 .25W","STOCK: DK73L4R10JCT-ND","RESC3115X70N","R18, R21"
"12","0u1","STOCK: DK 490-1532-1-ND","CAPC1608X92N","C2, C6, C7, C13, C15, C16, C17, C18, C19, C24, C33, C34"
"5","0u1","STOCK: DK 587-1227-1-ND","CAPC1005X60N","C5, C29, C30, C31, C32"
"2","0u15/50V","STOCK: 0.15UF/50V10%","CAP2012X70N","C1, C12"
"1","1K","DK: 311-1.00KLRCT-ND","RESC1005X40AN","R5"
"1","1K","STOCK: DK 1276-3484-1-ND","RESC1608X55N","R4"
"4","1K2","STOCK: 1K21 1%","RESC1608X55N","R7, R26, R28, R29"
"2","1K5","STOCK: DKRHM1.50KCFCT-ND","RESC1608X55N","R17, R20"
"1","1nF","DK: 311-1080-1-ND","CAPC1608X92N","C25"
"2","1uF","DK: 490-10435-1-ND","CAPC1005X60N","C3, C4"
"4","1uF","STOCK: 1UF/10V 20% TDK","CAPC1608X92N","C10, C26, C27, C35"
"3","1uF/25V","DK: 311-1456-1-ND","CAP2012X70N","C9, C11, C14"
"2","4K7","STOCK:4K75 1%","RESC1608X55N","R14, R27"
"1","8K2","STOCK","CAT16","RN2"
"10","10K","STOCK: 10K 1%","RESC1608X55N","R2, R16, R19, R24, R25, R31, R33, R34, R35, R36"
"2","10K","STOCK: DK CAY16-103J4GLFCT-ND","CAT16","RN3, RN4"
"1","10R","STOCK: 10R 1%","RESC1608X55N","R15"
"1","10uF/6.3V","DK: 490-5525-1-ND","CAP2012X70N","C42"
"2","10uF/16V","DK: 490-5525-1-ND","CAPC3215X168N","C37, C39"
"2","10uF/25V","DK: 490-5525-1-ND","CAPC3215X168N","C40, C41"
"2","10uF/35V","DK: 490-9964-1-ND","CAPC3215X168N","C36, C38"
"1","13K0","DK: 311-13.0KHRCT-ND","RESC1608X55N","R9"
"2","22-23-2041","DK: A19431-ND","22-23-2041","J4, J5"
"2","22R","STOCK: DK 1276-3497-1-ND","RESC1608X55N","R1, R3"
"1","22pF","STOCK: 22PF","CAPC1608X92N","C28"
"5","39K2","DK: 311-39.2KHRCT-ND","RESC1608X55N","R12, R22, R23, R32, R37"
"1","100K","STOCK: DK311-100KHRCT-ND","RESC1608X55N","R6"
"2","100R","STOCK","RESC1608X55N","R11, R13"
"1","100R","STOCK","RESC2012X70N","R8"
"1","470R","DK: YC164J-470CT-ND","CAT16","RN1"
"1","470uF/25V","STOCK","CAPAE1030X1020N","C8"
"1","475K","STOCK: P475KHCT-ND","RESC1608X55N","R10"
"1","475R","STOCK: DK 1276-4620-1-ND","RESC1608X55N","R30"
"1","AON7804","DK: 785-1586-1-ND","DFN3X3","Q7"
"1","AP3012","DK: AP3012KTR-G1DICT-ND","SOT23-5","U3"
"1","BAT54C","STOCK","SOT95P280X135-3N","D3"
"1","CC100%","*","CC-100","U$1"
"1","CCNONE","*","CC-NONE","U$2"
"2","CD54NP-100MC","DK: 587-1626-1-ND","CD54","L1, L2"
"1","DCJ0202PIN","STOCK: DK CP-102A-ND","PJ-102A","J1"
"1","EFM8UB1X-QFN28","DK: 336-3183-5-ND","QFN-28","U2"
"2","G6N-2-Y","STOCK","NA","K1, K2"
"1","LM339D","STOCK","SO14","U5"
"6","MBRS430","STOCK","DIOM7959X265N","D1, D2, D10, D11, D12, D13"
"3","MMBT2222","STOCK: MMBT2222","SOT95P280X135-3N","Q3, Q5, Q6"
"2","MMBT3906","STOCK:MMBT3906","SOT95P280X135-3N","Q1, Q4"
"3","MOM_SW__1181","BG: SKU156899","MOM-1181","S1, S2, S3"
"4","MOUNT-PAD-ROUND3.2","*","3,2-PAD","H1, H2, H3, H4"
"1","NOKIA5110","BG: SKU091069","NOKIA5110-BOTH","U4"
"1","POLARITY","*","POLARITY","U$3"
"3","SCREW-TERM_5MM_BG","BG: SKU170379","1X02-5MM-BG","J3, J6, J7"
"2","SRF1260-100M","DK: SRF1260-100MCT-ND","SRF1260","L3, L4"
"1","STPS130A","DK: 497-3755-1-ND","DIOM5326X292N","D4"
"4","Si SW","STOCK: BAV99","SOT95P280X135-3N","D6, D7, D8, D9"
"1","Si2307","STOCK: SI2307DS","SOT95P280X135-3N","Q2"
"1","TC4426ACOA","DK: TC4426ACOA-ND","SOIC8","U6"
"1","TPSQTP08R","*","TP08R","TP1"
"2","TPSQTP14SQ","*","TP14SQ","TP2, TP3"
"1","Z12V","STOCK","SOT95P280X135-3N","D5"
